cell,latitude,longitude
80092,6.984719398,79.86861158
80093,6.984719398,79.87759469
80343,6.975736286,79.86861158
80344,6.975736286,79.87759469
80345,6.975736286,79.8865778
80371,6.975736286,80.12013871
80372,6.975736286,80.12912182
80373,6.975736286,80.13810494
80374,6.975736286,80.14708805
80375,6.975736286,80.15607116
80376,6.975736286,80.16505427
80377,6.975736286,80.17403738
80378,6.975736286,80.1830205
80379,6.975736286,80.19200361
80380,6.975736286,80.20098672
80381,6.975736286,80.20996983
80382,6.975736286,80.21895294
80593,6.966753174,79.85962846
80594,6.966753174,79.86861158
80595,6.966753174,79.87759469
80596,6.966753174,79.8865778
80621,6.966753174,80.1111556
80622,6.966753174,80.12013871
80623,6.966753174,80.12912182
80624,6.966753174,80.13810494
80625,6.966753174,80.14708805
80626,6.966753174,80.15607116
80627,6.966753174,80.16505427
80628,6.966753174,80.17403738
80629,6.966753174,80.1830205
80630,6.966753174,80.19200361
80631,6.966753174,80.20098672
80632,6.966753174,80.20996983
80633,6.966753174,80.21895294
80842,6.957770062,79.84166224
80843,6.957770062,79.85064535
80844,6.957770062,79.85962846
80845,6.957770062,79.86861158
80846,6.957770062,79.87759469
80847,6.957770062,79.8865778
80848,6.957770062,79.89556091
80849,6.957770062,79.90454402
80871,6.957770062,80.10217249
80872,6.957770062,80.1111556
80873,6.957770062,80.12013871
80874,6.957770062,80.12912182
80875,6.957770062,80.13810494
80876,6.957770062,80.14708805
80877,6.957770062,80.15607116
80878,6.957770062,80.16505427
80879,6.957770062,80.17403738
80880,6.957770062,80.1830205
80881,6.957770062,80.19200361
80882,6.957770062,80.20098672
80883,6.957770062,80.20996983
80884,6.957770062,80.21895294
81093,6.94878695,79.84166224
81094,6.94878695,79.85064535
81095,6.94878695,79.85962846
81096,6.94878695,79.86861158
81097,6.94878695,79.87759469
81098,6.94878695,79.8865778
81099,6.94878695,79.89556091
81100,6.94878695,79.90454402
81101,6.94878695,79.91352714
81102,6.94878695,79.92251025
81103,6.94878695,79.93149336
81104,6.94878695,79.94047647
81110,6.94878695,79.99437514
81111,6.94878695,80.00335826
81112,6.94878695,80.01234137
81121,6.94878695,80.09318938
81122,6.94878695,80.10217249
81123,6.94878695,80.1111556
81124,6.94878695,80.12013871
81125,6.94878695,80.12912182
81126,6.94878695,80.13810494
81127,6.94878695,80.14708805
81128,6.94878695,80.15607116
81129,6.94878695,80.16505427
81130,6.94878695,80.17403738
81131,6.94878695,80.1830205
81132,6.94878695,80.19200361
81133,6.94878695,80.20098672
81134,6.94878695,80.20996983
81135,6.94878695,80.21895294
81344,6.939803838,79.84166224
81345,6.939803838,79.85064535
81346,6.939803838,79.85962846
81347,6.939803838,79.86861158
81348,6.939803838,79.87759469
81349,6.939803838,79.8865778
81350,6.939803838,79.89556091
81351,6.939803838,79.90454402
81352,6.939803838,79.91352714
81353,6.939803838,79.92251025
81354,6.939803838,79.93149336
81355,6.939803838,79.94047647
81356,6.939803838,79.94945958
81357,6.939803838,79.9584427
81358,6.939803838,79.96742581
81359,6.939803838,79.97640892
81360,6.939803838,79.98539203
81361,6.939803838,79.99437514
81362,6.939803838,80.00335826
81363,6.939803838,80.01234137
81372,6.939803838,80.09318938
81373,6.939803838,80.10217249
81374,6.939803838,80.1111556
81375,6.939803838,80.12013871
